"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"PhotoOps";"Programming";"2013-10-09";"2013-10-09 12:00:00";"2013-10-09 12:30:00";"00:29:59";"redo login panel"
"PhotoOps";"Programming";"2013-10-10";"2013-10-10 10:15:00";"2013-10-10 13:15:00";"02:59:59";"add field to DB
fb interface - gather data
xfer data to server db"
"PhotoOps";"Programming";"2013-10-10";"2013-10-10 13:30:00";"2013-10-10 15:00:00";"01:29:59";"fb interface - gather data
xfer data to server db"
"PhotoOps";"Programming";"2013-10-10";"2013-10-10 19:00:00";"2013-10-10 20:30:00";"01:29:59";"testing xfering data from mobile to server"
"PhotoOps";"Programming";"2013-10-10";"2013-10-10 17:15:00";"2013-10-10 18:45:00";"01:30:00";"tech support w/ Host Gator"
"PhotoOps";"Programming";"2013-10-11";"2013-10-11 09:45:00";"2013-10-11 11:15:00";"01:29:59";"setup PDO
begin server side program for writing fb data"
"PhotoOps";"Programming";"2013-10-11";"2013-10-11 11:15:00";"2013-10-11 12:45:00";"01:30:00";"continue DB write
test / confirm writing to DB"
"PhotoOps";"Programming";"2013-10-11";"2013-10-11 12:45:00";"2013-10-11 13:15:00";"00:29:59";"misc errors / comments"
"PhotoOps";"Programming";"2013-10-11";"2013-10-11 13:15:00";"2013-10-11 14:00:00";"00:44:59";"adhoc version 0.1 build 0.0.1
add id to cert"
"PhotoOps";"Programming";"2013-10-11";"2013-10-11 14:00:00";"2013-10-11 14:45:00";"00:44:59";"research / fix splash screen issue"
"PhotoOps";"Programming";"2013-10-12";"2013-10-12 12:15:00";"2013-10-12 13:15:00";"00:59:59";"research blur effects
"
"PhotoOps";"Programming";"2013-10-14";"2013-10-14 10:45:00";"2013-10-14 12:00:00";"01:15:00";"prototype hub detail"
"PhotoOps";"Programming";"2013-10-14";"2013-10-14 12:45:00";"2013-10-14 14:00:00";"01:14:59";"prototype hub detail"
